sentence	aspect	polarity
even though I had the receipt in front of me proving it still had 2 months left on the warranty.	support quality	negative
Dealing with the support drone on the other end of the chat was sheer torture.	support quality	negative
English must have been his third or fourth language.	support quality	negative
His language was so bad I swore I was taking the turing test, and it was failing.	support quality	negative
after trying to get some help he disconnected on me.	support quality	negative
After 4 days, being denied 6 times and told off once, I managed to get through and was able to send them a scanned copy of the receipt.	support quality	negative
Then they had me jump through many hoops and questions to see if they could find another way to invalidate me.	support quality	negative
After they found no other way, they told me to courier it to them(since they don't allow the use of the post office) at my expense, and sent me a 4 page list of very specific packaging instructions to follow or it wouldn't be covered.	support quality	negative
I managed to comply with these too and now have to wait and see if they can find another way to screw me.	support quality	negative
They really do have the worlds very worst repair service.	support general	negative
This computer gets very hot, before shutting down.	laptop quality	negative
It is not ideal for children because of the temp.	laptop miscellaneous	negative
It is not ideal for children because of the temp.	laptop quality	negative
I Contacted HP??about this situation and was given excuses, without results.	support quality	negative
They didn't even try to assist me or even offer a replacement.	support quality	negative
I will never purchase a HP again ever.	company general	negative
Let's just get this out of the way, I love Apple!	company general	positive
But the Macbook is the best!	laptop general	positive
It is super easy to use.	laptop usability	positive
All you have to do is turn it on and it works.	laptop operation performance	positive
All you have to do is turn it on and it works.	laptop usability	positive
It is very durable, I am pretty rough when it comes to electronics and it has taken it all with no reprecutions yet.	laptop quality	positive
I don't do any high tech stuff on it, just write papers, check mail, and sometimes play games, so I can't reccomend it if you are in the computer field.	laptop miscellaneous	neutral
In the past four years I've had it I have never once gotten a virus.	laptop quality	positive
I did have to replace the battery once, but that was only a couple months ago and it's been working perfect ever since.	battery operation performance	positive
I did have to replace the battery once, but that was only a couple months ago and it's been working perfect ever since.	battery quality	neutral
I would definitely reccomend this if you are in the market for an easy to use, stylish, fun, awesome computer.	laptop design features	positive
I would definitely reccomend this if you are in the market for an easy to use, stylish, fun, awesome computer.	laptop general	positive
I would definitely reccomend this if you are in the market for an easy to use, stylish, fun, awesome computer.	laptop usability	positive
Also it is very good for college students who just need a reliable, easy to use computer.	laptop miscellaneous	positive
Also it is very good for college students who just need a reliable, easy to use computer.	laptop quality	positive
Also it is very good for college students who just need a reliable, easy to use computer.	laptop usability	positive
This laptop does everything I need it to very well.	laptop general	positive
The best thing about this laptop is the price along with some of the newer features.	laptop design features	positive
The best thing about this laptop is the price along with some of the newer features.	laptop price	positive
The screen is bright and the keyboard is nice;	display quality	positive
The screen is bright and the keyboard is nice;	keyboard general	positive
I find myself using the 10-key more than I thought I would.	keyboard design features	positive
I find myself using the 10-key more than I thought I would.	keyboard usability	positive
Battery is lasting about 6 hours as I am surfing the web on Sundays while checking football scores and watching funny Youtube videos.	battery operation performance	neutral
For those that care about noise this thing doesn't really make any;	laptop quality	positive
the i3 processor doesn't seem to run hot and the fan rarely turns on.	cpu quality	positive
I took off a star because the machine has a lot of junk software on it.	laptop design features	negative
I took off a star because the machine has a lot of junk software on it.	software general	negative
I wish Toshiba would allow their customers to select an option that only boots the OS at setup and removes all the unnecessary stuff.	laptop design features	negative
Once I removed all the software the laptop loads in 15-20 seconds.	laptop operation performance	neutral
Once I removed all the software the laptop loads in 15-20 seconds.	software general	negative
This is not a serious gaming laptop or a serious media machine;	laptop miscellaneous	negative
my niece and nephew have played a few web games and it runs anything that doesn't require a dedicated video card.	graphics design features	neutral
my niece and nephew have played a few web games and it runs anything that doesn't require a dedicated video card.	laptop miscellaneous	neutral
Overall I am very satisfied with the purchase.	laptop general	positive
Great, quick laptop for the money.	laptop general	positive
Great, quick laptop for the money.	laptop operation performance	positive
Great, quick laptop for the money.	laptop price	neutral
Right size and weight for portability.	laptop design features	positive
Right size and weight for portability.	laptop portability	positive
Battery life needs more life.	battery operation performance	negative
Battery is not upgradable to a longer life battery.	laptop usability	negative
I love everything about it.	laptop general	positive
The only downfall is the battery only last 1.5-2.0 hrs when not plugged in.	battery operation performance	negative
I would like at least a 4 hr. battery life.	battery operation performance	negative
Otherwise, all other features are a 1	laptop design features	positive
This mac is great!	laptop general	positive
lightweight, long battery life, excellent transition from PC;	battery operation performance	positive
lightweight, long battery life, excellent transition from PC;	laptop design features	positive
lightweight, long battery life, excellent transition from PC;	laptop miscellaneous	positive
THIS HAS BEEN NOTHING BUT A HEADACHE SINCE WE PURCHASED IT.	laptop quality	negative
I will NEVER buy (Refurbished) again, I don't cae how cheap it is.	laptop miscellaneous	negative
Just don't waste your time and money on this.	laptop general	negative
I tried giving it 0 stars but I had to choose at least one, but IMO NO STARS	laptop general	negative
Summary: Dont buy HP.	company general	negative
If you buy, pray you dont have major prolems.	company general	negative
Runs Hot	laptop quality	negative
I thought we were paying for quality in our decision to buy an Apple product.	company general	negative
I thought we were paying for quality in our decision to buy an Apple product.	laptop quality	negative
After a little more than a year of owning my MacBook Pro, the monitor has completely died.	display quality	negative
This purchase opened me to the world of Macbooks, and I am impressed with the intuition of the design, the beauty of the product, and the excellent technological advances associated with it.	laptop design features	positive
Then 2 of my nephews were going into music and both fell in love with the MacBook Pro.	laptop general	positive
Now they are believers in the product.	laptop general	positive
It is easy to use, has great screen quality, and every so light weight.	display quality	positive
It is easy to use, has great screen quality, and every so light weight.	laptop design features	positive
It is easy to use, has great screen quality, and every so light weight.	laptop usability	positive
This little netboook is helping me get work done!	laptop general	positive
I homeschool my kids and with this netbook next to my desk we get to teaching and illustrating without skipping a beat.	laptop miscellaneous	positive
I am first time Mac Buyer and am amazed at features and ease of use the Mac offers.	laptop design features	positive
I am first time Mac Buyer and am amazed at features and ease of use the Mac offers.	laptop usability	positive
I bought it for my mom and she reports that the battery life lasts all day for her, it's very lightweight, and the response for the computing she's doing (Internet focused activity: mail, research, etc.) is excellent;	battery operation performance	positive
I bought it for my mom and she reports that the battery life lasts all day for her, it's very lightweight, and the response for the computing she's doing (Internet focused activity: mail, research, etc.) is excellent;	laptop design features	positive
I bought it for my mom and she reports that the battery life lasts all day for her, it's very lightweight, and the response for the computing she's doing (Internet focused activity: mail, research, etc.) is excellent;	laptop miscellaneous	positive
I bought it for my mom and she reports that the battery life lasts all day for her, it's very lightweight, and the response for the computing she's doing (Internet focused activity: mail, research, etc.) is excellent;	laptop operation performance	positive
The overall build quality of the unit is excellent and she'd recommend it to anyone else looking for a netbook.	laptop general	positive
The overall build quality of the unit is excellent and she'd recommend it to anyone else looking for a netbook.	laptop quality	positive
If you're looking for something to fly through those massive spreadsheets or play a graphics-intensive game, you'd be better off getting a machine aimed at that segment of the market.	laptop miscellaneous	neutral
previous laptops were pc's, still have them, but the mac osx is a clean and smooth operating system.	os design features	positive
previous laptops were pc's, still have them, but the mac osx is a clean and smooth operating system.	os operation performance	positive
still testing the battery life as i thought it would be better, but am very happy with the upgrade.	battery operation performance	neutral
still testing the battery life as i thought it would be better, but am very happy with the upgrade.	laptop general	positive
Probably as good as you can get in a netbook, does everything I ask for and has some very good unexpected pluses.	laptop design features	positive
Probably as good as you can get in a netbook, does everything I ask for and has some very good unexpected pluses.	laptop general	positive
Has met or exceeded my needs for a compact travel device.	laptop portability	positive
Has met or exceeded my needs for a compact travel device.	laptop usability	positive
So far, so good!	laptop general	positive
I've been impressed with the battery life and the performance for such a small amount of memory.	battery operation performance	positive
I've been impressed with the battery life and the performance for such a small amount of memory.	laptop operation performance	positive
I've been impressed with the battery life and the performance for such a small amount of memory.	memory design features	neutral
I don't understand why only Windows 7 Starter is included.	laptop design features	negative
Strong performance in this device makes use of fun and a strong sense of the era of speed	laptop operation performance	positive
This device serves all modern requirements is a very strong game and is very useful for designers.	laptop general	positive
This device serves all modern requirements is a very strong game and is very useful for designers.	laptop miscellaneous	positive
Enjoy that Toshib force and durability unparalleled	laptop operation performance	positive
Enjoy that Toshib force and durability unparalleled	laptop quality	positive
Needs longer lasting battery, More than 1 to 2 Hrs.	battery operation performance	negative
Needs Power and Mouse Cable to Plug in back instead of side, In the way of operating a mouse in small area.	mouse design features	negative
Needs Power and Mouse Cable to Plug in back instead of side, In the way of operating a mouse in small area.	mouse operation performance	neutral
For the use it was purchased for it is a good Laptop.	laptop miscellaneous	positive
Comfterbale to use light easy to transport.	laptop design features	positive
Comfterbale to use light easy to transport.	laptop portability	positive
Comfterbale to use light easy to transport.	laptop usability	positive
I love this product because it is Toshiba and its 15.6".	company general	positive
I love this product because it is Toshiba and its 15.6".	laptop design features	positive
I love this product because it is Toshiba and its 15.6".	laptop general	positive
It has no camera but, I can always buy and install one easy.	laptop design features	neutral
I had a USB connect but, i can't use it because it is not compatible.	laptop usability	negative
That's the downside for me.	laptop usability	negative
But, I would recommend this product.	laptop general	positive
Satisfy what I paid for it.	laptop general	positive
Satisfy what I paid for it.	laptop price	neutral
Good monitor and performed well.	display general	positive
Good monitor and performed well.	laptop operation performance	positive
I am using the external speaker- sound is good.	multimedia devices quality	positive
Best thing is I can use existing 32 bit old programs.	laptop usability	positive
I recommend for word processing and internet users.	laptop miscellaneous	positive
The games included are very good games.	software general	positive
I would highly recommend this one to my friends	laptop general	positive
I bought this laptop because of the performance to price ratio.	laptop operation performance	positive
I bought this laptop because of the performance to price ratio.	laptop price	positive
It works great for general internet use, Microsoft Office apps, home bookkeeping, etc.	laptop miscellaneous	positive
It doesn't have a lot of frills, but I didn't need any, and being able to buy what I needed, and not more than I needed was very important.	laptop design features	neutral
It doesn't have a lot of frills, but I didn't need any, and being able to buy what I needed, and not more than I needed was very important.	laptop miscellaneous	positive
This computer I used daily nice compact design.	laptop design features	positive
This computer I used daily nice compact design.	laptop usability	positive
Excellent speed for processing data.	laptop operation performance	positive
And if you are a game player it works with World Of Warcraft wonderfully.	laptop miscellaneous	positive
All in all great item highly recommend it.	laptop general	positive
i would have to say that overall its great!	laptop general	positive
Aside from the trial software and the short battery life, lack of a webcam, its great.	battery operation performance	negative
Aside from the trial software and the short battery life, lack of a webcam, its great.	laptop design features	negative
Aside from the trial software and the short battery life, lack of a webcam, its great.	laptop general	positive
Aside from the trial software and the short battery life, lack of a webcam, its great.	software miscellaneous	negative
Fast, great visual!	display quality	positive
Fast, great visual!	laptop operation performance	positive
Oh yea, has no numeric pad on the side.	keyboard design features	negative
2nd Best computer in the world only one way this computer might become the best is that it needs to upgreade patches to make less easier for people to hack into	laptop general	positive
2nd Best computer in the world only one way this computer might become the best is that it needs to upgreade patches to make less easier for people to hack into	laptop quality	neutral
My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.	laptop connectivity	positive
My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.	laptop design features	neutral
Great wifi too.	laptop connectivity	positive
The screen is a little glary, and I hated the clicking buttons, but I got used to them.	display quality	negative
The screen is a little glary, and I hated the clicking buttons, but I got used to them.	mouse usability	neutral
Overall for the money this is a good deal.	laptop general	positive
Overall for the money this is a good deal.	laptop price	neutral
There is no number pad to the right of the keyboard which is a bummer.	keyboard design features	negative
The speakers are terrible and are probably the cheapest ones I have ever seen in a laptop so if your planning to listen to music I suggest you get something better.	multimedia devices general	negative
The speakers are terrible and are probably the cheapest ones I have ever seen in a laptop so if your planning to listen to music I suggest you get something better.	multimedia devices quality	negative
while the keyboard itself is alright, the plate around it is cheap plastic and makes a hollow sound when using the mouse command buttons.	keyboard general	neutral
while the keyboard itself is alright, the plate around it is cheap plastic and makes a hollow sound when using the mouse command buttons.	laptop quality	negative
I am overall very pleased with my toshiba satellite, I like the extra features, I love the windows 7 home premium.	laptop design features	positive
I am overall very pleased with my toshiba satellite, I like the extra features, I love the windows 7 home premium.	laptop general	positive
I am overall very pleased with my toshiba satellite, I like the extra features, I love the windows 7 home premium.	os general	positive
The battery life has not decreased since I bought it, so i'm thrilled with that.	battery operation performance	positive
The battery life has not decreased since I bought it, so i'm thrilled with that.	battery quality	positive
I also love the design, the looks, the feel, and the my toshiba feature is wonderfull.	laptop design features	positive
I also love the design, the looks, the feel, and the my toshiba feature is wonderfull.	laptop quality	positive
I would easly reccomend this laptop to a friend.	laptop general	positive
Couldnt not use it.	laptop usability	negative
Tried to make a recovey disk wouldnt get passed the first recovery disk.	laptop usability	negative
defective software.	software quality	negative
returned it to walmart.	laptop general	negative
I would like to have volume buttons rather than the adjustment that is on the front.	laptop design features	negative
I also had a problem with the touchpad that caused the mouse pointer to jump all over the screen.	mouse operation performance	negative
I went to Toshiba online help and found some suggestions to fix it.	support quality	positive
One of them seems to have worked.	support quality	positive
Its a good laptop for its value.	laptop general	positive
Its a good laptop for its value.	laptop price	neutral
Registration/1st use is easy.	laptop usability	positive
Features like the font are very block-like and old school.	laptop design features	negative
Would like more trendy, high tech features.	laptop design features	negative
The start menu is not the easiest thing to navigate due to the stacking.	os usability	negative
Keys stick periodically and I havent had the laptop for 45 days yet.	keyboard operation performance	negative
Keys stick periodically and I havent had the laptop for 45 days yet.	keyboard quality	negative
Came fully loaded - good.	laptop design features	positive
Seems to slow down occassionally but can run many applications (ie Internet tabs, programs, etc) simultaneously.	laptop operation performance	positive
I'm really impressed with the quality and performance for the price of the computer.	laptop operation performance	positive
I'm really impressed with the quality and performance for the price of the computer.	laptop price	neutral
I'm really impressed with the quality and performance for the price of the computer.	laptop quality	positive
Graphics are clean and sharp, internet interfaces are seamless.	graphics quality	positive
Graphics are clean and sharp, internet interfaces are seamless.	laptop connectivity	positive
Only issue is that it is a little slow, and I'm fixing that by adding more RAM.	laptop operation performance	negative
Only issue is that it is a little slow, and I'm fixing that by adding more RAM.	memory design features	neutral
Sound card is limited though.	multimedia devices design features	negative
The laptop is very lightweight, can easily carry around in a knapsack full of text books and it barely adds any weight.	laptop design features	positive
The laptop is very lightweight, can easily carry around in a knapsack full of text books and it barely adds any weight.	laptop portability	positive
It is small enough to fit in one of my purses!	laptop design features	positive
Windows 7 Starter is terrific (no you can't change the background) but I don't need to, I use it just for school work.	os general	positive
Windows 7 Starter is terrific (no you can't change the background) but I don't need to, I use it just for school work.	os usability	neutral
The battery life is amazing, the versitility is outstanding.	battery operation performance	positive
The battery life is amazing, the versitility is outstanding.	laptop usability	positive
The ease of set up was terrific.	laptop usability	positive
I was even able to uninstall McAffe and install one of my Symantec licenses with a no issues whatsoever.	laptop usability	positive
I had to adjust my mousepad sensitivity, because it is very sensitive.	mouse operation performance	negative
Keyboard is great, very quiet for all the typing that I do.	keyboard general	positive
Keyboard is great, very quiet for all the typing that I do.	keyboard quality	positive
Screen is crystal clear, yes it's small - but it's a netbook!	display design features	neutral
Screen is crystal clear, yes it's small - but it's a netbook!	display quality	positive
Awesome laptop and the perfect size to carry around in college.	laptop design features	positive
Awesome laptop and the perfect size to carry around in college.	laptop general	positive
Awesome laptop and the perfect size to carry around in college.	laptop portability	positive
I couldn't believe how long the battery lasted on a single charge.	battery operation performance	positive
I loaded windows 7 via Bootcamp and it works flawlessly!	os operation performance	positive
Simply amazing computer!!	laptop general	positive
I really like the Mac 15.4in. Notebook, but its very pricey.	laptop general	positive
I really like the Mac 15.4in. Notebook, but its very pricey.	laptop price	negative
Love the graphics, awesome programs (including Garageband), and really cool default background.	graphics general	positive
Love the graphics, awesome programs (including Garageband), and really cool default background.	laptop design features	positive
Love the graphics, awesome programs (including Garageband), and really cool default background.	software general	positive
But, like I said before, the only reason I don't currently have a Mac laptop is because all of their laptops are too pricey.	laptop price	negative
Waiting for the i7 was well worth it, great value for the price.	laptop general	positive
Waiting for the i7 was well worth it, great value for the price.	laptop price	neutral
Bigger HD, better graphics card, and a bid HD.	graphics general	positive
Bigger HD, better graphics card, and a bid HD.	hard disc design features	positive
There is nothing to complain about the system.	laptop general	positive
I have used PC's and converting to this MacBook Pro was easy.	laptop usability	positive
If you have the money I suggest going for the i7.	laptop general	positive
I occassionaly use it for work via VPN and it has not given me any problems.	laptop miscellaneous	positive
The screen is nice and the images comes very clear, the keyboard and the fit just feels right.	display general	positive
The screen is nice and the images comes very clear, the keyboard and the fit just feels right.	display quality	positive
The screen is nice and the images comes very clear, the keyboard and the fit just feels right.	keyboard quality	positive
The screen is nice and the images comes very clear, the keyboard and the fit just feels right.	laptop design features	positive
I consider myself an average user and this computer serves my need.	laptop general	positive
The price is another driving influence that made me purchase this laptop.	laptop price	positive
I'ts nice to have the higher-end laptops, but this fits my budget and the features I need.	laptop design features	positive
I'ts nice to have the higher-end laptops, but this fits my budget and the features I need.	laptop price	positive
I'ts nice to have the higher-end laptops, but this fits my budget and the features I need.	laptop quality	positive
I normally dont participate in reviews/surveys but this laptop has not given me any problems and hope to share my thoughts...	laptop general	positive
another satisfied customer.	laptop general	positive
The apple MacBook is the best investment that I have ever made.	laptop general	positive
The newer MacBook that I have purchased is one of the best computers.	laptop general	positive
I am a college student and it has been very useful.	laptop miscellaneous	positive
It has all the features that are necessary for college and if not they are able to be added onto the computer.	laptop design features	positive
It has all the features that are necessary for college and if not they are able to be added onto the computer.	laptop miscellaneous	positive
It has all the features that are necessary for college and if not they are able to be added onto the computer.	laptop usability	positive
It has a lot of memory and a great battery life.	battery operation performance	positive
It has a lot of memory and a great battery life.	memory design features	positive
It is sleek and lightweight and charges quickly when needed.	battery operation performance	positive
It is sleek and lightweight and charges quickly when needed.	laptop design features	positive
Its white color is stylish for college students and easy to take to carry and take to classes.	laptop design features	positive
Its white color is stylish for college students and easy to take to carry and take to classes.	laptop portability	positive
Iphoto is great for adding pictures right to facebook and other social networking sites.	software miscellaneous	positive
The internet capabilities are also very strong and picks up signals very easily.	laptop connectivity	positive
I have never had to shut down the computer unexpectedly and the computer has never froze on me.	laptop operation performance	positive
The screen is bright and vivid and the keyboard is very easy to use, very important for use quick typers.	display quality	positive
The screen is bright and vivid and the keyboard is very easy to use, very important for use quick typers.	keyboard usability	positive
Overall, this is a wonderful computer and definitly worth the purchase!	laptop general	positive
The graphics are stunning.	graphics general	positive
It's wonderful for computer gaming.	laptop miscellaneous	positive
I would definitely suggest this laptop!	laptop general	positive
It is very user friendly and not hard to figure out at all.	laptop usability	positive
It has many great programs, such as ILife, iPhotos and others.	laptop design features	positive
It has many great programs, such as ILife, iPhotos and others.	software general	positive
iLife is easily compatible with Microsoft Office so you can send and receive files from a PC.	software usability	positive
In addition, all the design tools on Pages and Keynotes makes it much easier to create professional looking documents and presentations.	software design features	positive
In addition, all the design tools on Pages and Keynotes makes it much easier to create professional looking documents and presentations.	software usability	positive
This comes in very handy for me as an educator.	software usability	positive
iPhotos is an excellent program for storing and organizing photos.	software miscellaneous	positive
It allows you to automatically upload photos to your Facebook account with one click.	software usability	positive
In addition, there is photo detection software that will allow you to group all the photos together based upon the people in the picture.	software design features	positive
If you are looking for something reliable, this is the laptop for you.	laptop quality	positive
This computer was awful!	laptop general	negative
I will never buy another computer from Dell ever again do to how awful it worked and how I was treated by the company.	company general	negative
I will never buy another computer from Dell ever again do to how awful it worked and how I was treated by the company.	laptop operation performance	negative
I will never buy another computer from Dell ever again do to how awful it worked and how I was treated by the company.	support quality	negative
The computer first started malfunctioning 3 months after purchasing it.	laptop operation performance	negative
The computer first started malfunctioning 3 months after purchasing it.	laptop quality	negative
It does not keep internet signals no matter where you bring it.	laptop connectivity	negative
The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.	os operation performance	negative
The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.	os quality	negative
When calling Dell for help, reurn, or a new computer they were not useful and left it up to myself to figure out what to do with it.	support quality	negative
One year of trying to fix the computer by myself, with help of friends, and even help from computer experts I have given up on trying to fix it.	laptop quality	negative
This computer was awful, I would never recomend it to another person.	laptop general	negative
Those moments in thime where you want to throw something against the wall?	laptop general	negative
Yeah, I wanted to throw that lap top out the window and light it on fire.	laptop general	negative
That's how frustrating it was.	laptop general	negative
It is well worth the money it cost, Very good investment.	laptop general	positive
It is well worth the money it cost, Very good investment.	laptop price	positive
The new Macbook Pro 15 inch i7 is nothing short of amazing.	laptop general	positive
The speed is incredible and I am more than satisfied.	laptop operation performance	positive
BOUGHT FROM WAL-MART, I BELIEVE THAT THIS LAPTOP WAS A REPAIRED ITEM.	laptop miscellaneous	neutral
THIS LAPTOP WAS BAD FROM THE FIRST DAY OF USE----BROUGHT IT BACK TO STORE FOR RETURN OF MONEY.	laptop general	negative
THIS LAPTOP WAS BAD FROM THE FIRST DAY OF USE----BROUGHT IT BACK TO STORE FOR RETURN OF MONEY.	laptop quality	negative
NOW AM VERY APREHENSIVE ABOUT TOSHIBA LAPTOPS.	company general	negative
WILL NOT EVERY BUY ANOTHER--------LOU	laptop general	negative
This is a great value for the money.	laptop general	positive
This is a great value for the money.	laptop price	neutral
This is a great computer.	laptop general	positive
We haven't had any problems with it at all.	laptop general	positive
The body is a bit cheaply made so it will be interesting to see how long it holds up.	laptop quality	negative
Overall though, for the money spent it's a great deal.	laptop general	positive
Overall though, for the money spent it's a great deal.	laptop price	positive
But let me tell you, the mac book pro is so professional.	laptop general	positive
Its very nice and once you learn the features you will be so happy to have such a sophisticated computer.	laptop design features	positive
Its very nice and once you learn the features you will be so happy to have such a sophisticated computer.	laptop general	positive
For example, when my husband turns the light out while I'm on the computer. the screen brightness automatically adjusts.	display design features	positive
It is VERY easy to type on and feels great - besides the added feature that the keyboard is lighted.	keyboard design features	positive
It is VERY easy to type on and feels great - besides the added feature that the keyboard is lighted.	keyboard quality	positive
It is VERY easy to type on and feels great - besides the added feature that the keyboard is lighted.	keyboard usability	positive
Oh, it is such a great piece of equipment.	laptop general	positive
Its Office compatible, but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs.	software design features	neutral
Its Office compatible, but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs.	software operation performance	neutral
Its Office compatible, but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs.	software usability	positive
I get a ton of compliments on its size, and speaking as someone who regularly commutes on a bus, I can attest to the fact that this is the perfect size computer if you're restricted to the width of your body for computing room.	laptop design features	positive
I get a ton of compliments on its size, and speaking as someone who regularly commutes on a bus, I can attest to the fact that this is the perfect size computer if you're restricted to the width of your body for computing room.	laptop portability	positive
Very long-life battery (up to 10-11 hours depending on how you configure power level settings).	battery operation performance	positive
I upgraded the memory and replaced the base Windows 7 Starter to Win 7 Home, and it runs just fine.	laptop operation performance	positive
I upgraded the memory and replaced the base Windows 7 Starter to Win 7 Home, and it runs just fine.	laptop usability	neutral
I play a lot of casual games online, and the touchpad is very responsive.	mouse operation performance	positive
I wouldn't play a first-person shooter with this, mind, but if you wanted to run MS Office, email, chat, download a video, listen to music from a certain fruit-named music store, and were looking for a highly portable yet powerful netbook to do that all in, I'd highly recommend checking this out.	laptop miscellaneous	positive
I wouldn't play a first-person shooter with this, mind, but if you wanted to run MS Office, email, chat, download a video, listen to music from a certain fruit-named music store, and were looking for a highly portable yet powerful netbook to do that all in, I'd highly recommend checking this out.	laptop operation performance	positive
I wouldn't play a first-person shooter with this, mind, but if you wanted to run MS Office, email, chat, download a video, listen to music from a certain fruit-named music store, and were looking for a highly portable yet powerful netbook to do that all in, I'd highly recommend checking this out.	laptop portability	positive
The downside to this netbook is pretty much the same for any netbook: screen size is not something I'd stare at for the entire 10-11 hours of battery life five days a week.	display design features	negative
Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.	software design features	neutral
Everything from the design to the OS is simple and to the point.	laptop design features	positive
Everything from the design to the OS is simple and to the point.	laptop general	positive
Everything from the design to the OS is simple and to the point.	os general	positive
LOVE IT LOVE IT LOVE IT!	laptop general	positive
It really is perfect for work and play.	laptop miscellaneous	positive
I am able to play 720p and 1080p media files just fine with it.	laptop miscellaneous	positive
Everything I have tried has worked and I never have to carry the wall charger cause the battery is so awesome.	battery operation performance	positive
Everything I have tried has worked and I never have to carry the wall charger cause the battery is so awesome.	laptop operation performance	positive
The only thing that isn't perfect about this netbook is the speakers, they are not loud at all but I expected that.	multimedia devices quality	negative
I upgraded it's RAM to 2GB, I am very happy with it.	laptop general	positive
I upgraded it's RAM to 2GB, I am very happy with it.	memory design features	neutral
lots of preloaded software.	laptop design features	neutral
the only problem is that i had to add 1 gb RAM, the computer was kinda slow.	laptop operation performance	negative
the only problem is that i had to add 1 gb RAM, the computer was kinda slow.	memory design features	negative
tosiba has a good reputation, my llast computer was an acer.	company general	positive
this is starting off good.	laptop general	positive
What a great little laptop.	laptop general	positive
Maybe not the cutting edge (Satellite L455D) but it is a workhorse.	laptop design features	neutral
Maybe not the cutting edge (Satellite L455D) but it is a workhorse.	laptop operation performance	positive
I bought it to use in college and it is perfect.	laptop miscellaneous	positive
I dual boot with Linux and that other security-prone OS and it performs flawlessly.	laptop operation performance	positive
I made a perfect decision when I bought the Toshiba!	company general	positive
I made a perfect decision when I bought the Toshiba!	laptop general	positive
Excellent product for the money.	laptop general	positive
Excellent product for the money.	laptop price	neutral
No problems, no lock ups, no disappointments.	laptop general	positive
No problems, no lock ups, no disappointments.	laptop operation performance	positive
Not super fancy, but not super expensive either.	laptop design features	neutral
Not super fancy, but not super expensive either.	laptop price	neutral
Highly recommend for daily use.	laptop miscellaneous	positive
The Computer itself is a good product but the repair depot stinks.	laptop general	positive
The Computer itself is a good product but the repair depot stinks.	support quality	negative
I have had to send in my laptop three times to get it fixed.	support quality	negative
Toshiba does not send any one out unless you have paid extra to have the on site repair done.	support quality	negative
I would tell the technician I knew?exactly?what was wrong with it but they did not listen and I had to go through a bunch of junk to get them to tell me I needed to send the computer in.	support quality	negative
This computer that I have has had issues with the keyboard where it lost half the keyboard functions.	keyboard operation performance	negative
This computer that I have has had issues with the keyboard where it lost half the keyboard functions.	keyboard quality	negative
As well as having the plug in the computer come loose.	power supply quality	negative
So having the AC plug go out on me and get lose or I could actually here it inside my computer on two of the three times is not good.	power supply quality	negative
It still seems to be a little lose now but so far seems to be hanging in there.	power supply quality	negative
The Mac Book Pro performs flawlessly.	laptop operation performance	positive
Never had a single problem, and don't have to worry about viruses.	laptop general	positive
Never had a single problem, and don't have to worry about viruses.	laptop quality	positive
While I mostly use it for email, internet and gaming, I'm confident all other applications live up to the high standard I've come to appreciate from Mac laptops.	laptop miscellaneous	positive
Worth the investment and truly a fine piece of equipment.	laptop general	positive
Right out of the box, this little netbook did everything I asked of it, including streaming the everyday video you're bound to encounter checking mail and websites (my biggest complaint previously).	laptop general	positive
Right out of the box, this little netbook did everything I asked of it, including streaming the everyday video you're bound to encounter checking mail and websites (my biggest complaint previously).	laptop miscellaneous	positive
It even has a great webcam, and Skype works very well.	laptop design features	positive
It even has a great webcam, and Skype works very well.	multimedia devices general	positive
It even has a great webcam, and Skype works very well.	software operation performance	positive
The fact that you can spend over $100 on just a webcam underscores the value of this machine.	laptop general	positive
The Windows 7 Starter is, in my opinion, a great way to think about using your netbook: basics, basics, basics.	os general	negative
I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.	laptop general	positive
I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.	laptop operation performance	positive
I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.	laptop price	positive
I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.	os general	negative
This netbook is a perfect supplementary computer to another laptop or desktop (my wife and I have another laptop), or if you are a user who uses the computer for simple tasks.	laptop miscellaneous	positive
I use this for my tutoring business, and since I'm always bouncing from student to student, it is ideal for portability and battery life (yes, it gets the 8 hours as advertised!).	battery operation performance	positive
I use this for my tutoring business, and since I'm always bouncing from student to student, it is ideal for portability and battery life (yes, it gets the 8 hours as advertised!).	laptop portability	positive
ASUS has done an outstanding job of evolving their netbooks, and I would recommend this to anyone who both understands their needs and how netbooks can fit them.	company general	positive
ASUS has done an outstanding job of evolving their netbooks, and I would recommend this to anyone who both understands their needs and how netbooks can fit them.	laptop general	positive
little short on RAM but you get what you pay for.	memory design features	neutral
